444,-0.07,-1.92
480,-0.08,-2.05
499,-0.08,-2.05
519,-0.09,-2.18
538,-0.06,-1.65
558,-0.09,-2.31
577,-0.09,-2.31
596,-0.07,-1.79
616,-0.06,-1.79
635,-0.07,-1.65
655,-0.07,-1.79
674,-0.07,-1.79
694,-0.07,-1.79
713,-0.07,-1.79
733,-0.07,-1.79
752,-0.07,-1.65
772,-0.07,-1.79
791,-0.07,-1.92
811,-0.08,-1.92
830,-0.07,-1.92
849,-0.07,-1.79
869,-0.07,-1.92
888,-0.07,-1.92
908,-0.07,-1.92
927,-0.07,-1.92
947,-0.08,-2.05
966,-0.08,-2.05
986,-0.07,-1.79
1005,-0.07,-1.92
1025,-0.09,-1.92
1044,-0.07,-1.79
1061,-0.07,-1.79
1081,-0.07,-1.65
1100,-0.07,-2.84
1120,-0.07,-1.79
1139,-0.07,-1.65
1159,-0.07,-1.79
1178,-0.07,-1.65
1198,-0.07,-1.79
1217,-0.06,-1.65
1236,-0.07,-1.92
1256,-0.07,-1.79
1275,-0.06,-1.79
1295,-0.06,-1.52
1314,-0.08,-2.18
1334,-0.05,-1.39
1353,-0.05,-1.39
1373,-0.06,-1.52
1392,-0.06,-1.52
1412,-0.07,-2.05
1431,-0.06,-1.65
1451,-0.06,-1.65
1470,-0.06,-1.65
1489,-0.07,-1.79
1509,-0.07,-1.79
1528,-0.09,-2.18
1548,-0.05,-1.39
1567,-0.06,-1.52
1587,-0.07,-1.79
1623,-0.08,-2.58
1651,-0.06,-1.65
1671,-0.06,-1.65
1690,-0.06,-1.65
1710,-0.07,-1.65
1729,-0.06,-1.65
1748,-0.06,-1.65
1768,-0.06,-1.65
1787,-0.07,-1.79
1807,-0.06,-1.65
1826,-0.07,-1.79
1846,-0.07,-1.79
1865,-0.07,-1.92
1885,-0.07,-1.92
1904,-0.08,-2.05
1924,-0.06,-1.65
1943,-0.07,-1.65
1963,-0.07,-1.79
1982,-0.07,-1.65
2001,-0.06,-1.65
2021,-0.06,-1.65
2040,-0.07,-1.65
2060,-0.07,-1.79
2079,-0.07,-1.79
2099,-0.07,-1.92
2118,-0.07,-1.92
2139,-0.07,-1.92
2158,-0.07,-1.92
2181,-0.07,-1.92
2200,-0.07,-1.92
2220,-0.07,-1.79
2239,-0.07,-1.79
2258,-0.07,-1.92
2278,-0.08,-1.92
2297,-0.07,-1.92
2317,-0.07,-1.79
